field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
timestamp,1786673173,True,,,1786673173,True,,True
lat,49.3949,True,3248136,0,49.394907807089766,True,0.1819,True
lon,10.7743,True,2222681,1,10.77428597790859,True,0.1634,True
altitude,10363.2,True,11363,2,10363.0,True,0.2000,True
speed,243.05,True,2431,3,243.10000000000002,True,0.5000,True
heading,288.51,True,28851,4,288.51,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,THY6091,True,,6,THY6091,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.8813,True,3212866,0,47.88128325492937,True,0.3902,True
lon,7.6513,True,2186296,1,7.651335633119487,True,0.4152,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,258.28,True,2583,3,258.3,True,0.2000,True
heading,104.06,True,10406,4,104.06,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ETD2,True,,6,ETD2,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,46.5154,True,3181039,0,46.51541626820952,True,0.3791,True
lon,5.7767,True,2164455,1,5.776707119156612,True,0.0829,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,225.56,True,2256,3,225.60000000000002,True,0.4000,True
heading,195.75,True,19575,4,195.75,True,0.0000,True
vertical_rate,0.33,True,32801,5,0.3299999999999841,True,0.0000,True
callsign,EWG40C,True,,6,EWG40C,True,,True
timestamp,1786673174,True,,,1786673174,True,,True
lat,48.7388,True,3232848,0,48.7388178679509,True,0.4164,True
lon,9.4245,True,2206955,1,9.424512249115025,True,0.1427,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,222.93,True,2229,3,222.9,True,0.3000,True
heading,302.37,True,30237,4,302.37,True,0.0000,True
vertical_rate,0.33,True,32801,5,0.3299999999999841,True,0.0000,True
callsign,GAV596,True,,6,GAV596,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,49.2319,True,3244338,0,49.23191529081231,True,0.3563,True
lon,10.5875,True,2220505,1,10.58751835525473,True,0.2139,True
altitude,5372.1,True,6372,2,5372.0,True,0.1000,True
speed,193.84,True,1938,3,193.8,True,0.4000,True
heading,248.68,True,24868,4,248.68,True,0.0000,True
vertical_rate,9.1,True,33678,5,9.100000000000023,True,0.0000,True
callsign,EWG53L,True,,6,EWG53L,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,45.9295,True,3167386,0,45.92949293362926,True,0.1647,True
lon,11.3345,True,2229208,1,11.33450301516126,True,0.0351,True
altitude,13716,True,14716,2,13716.0,True,0.0000,True
speed,255.71,True,2557,3,255.70000000000002,True,0.1000,True
heading,118.21,True,11821,4,118.21000000000001,True,0.0000,True
vertical_rate,-0.33,True,32735,5,-0.3299999999999841,True,0.0000,True
callsign,N950MP,True,,6,N950MP,True,,True
timestamp,1786673174,True,,,1786673174,True,,True
lat,45.7164,True,3162421,0,45.716418198685204,True,0.4241,True
lon,5.0926,True,2156485,1,5.092636368903243,True,0.4237,True
altitude,,False,,,,False,,True
speed,8.23,True,82,3,8.200000000000001,True,0.3000,True
heading,81.56,True,8156,4,81.56,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,LA2,True,,6,LA2,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.4443,True,3202684,0,47.44431911571482,True,0.4454,True
lon,8.5674,True,2196969,1,8.567406789638227,True,0.0791,True
altitude,,False,,,,False,,True
speed,0.39,True,4,3,0.4,True,0.1000,True
heading,244.69,True,24469,4,244.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,SWR7DC,True,,6,SWR7DC,True,,True
timestamp,1786673098,True,,,1786673098,True,,True
